,year,month,ticker,list_date,company_name,icb_industry,icb_supersector,country_of_incorporation,market_cap,eps,p/e,p/s,datetime
113306,2017,3,ZOO,2001-05-14,ZOO DIGITAL GROUP PLC,Technology,Technology,United Kingdom,3.266066,0.02,4.948584848484849,0.4848484848484849,2017-03-01
115414,2016,12,ACSO,2002-04-24,ACCESSO TECHNOLOGY GRP PLC         ,Software & Computer Services,Software,United Kingdom,320.2173,0.34,42.809799465240644,4.681818181818182,2016-12-01
115493,2016,12,ANP,2006-11-28,ANPARIO PLC                        ,Pharmaceuticals & Biotechnology,Biotechnology,United Kingdom,60.29699045,0.19,13.797938318077804,1.0434782608695652,2016-12-01
115541,2016,12,ATQT,2014-08-19,ATTRAQT GROUP PLC                  ,Software & Computer Services,Software,United Kingdom,13.336458300000002,-0.06,-7.938368035714285,0.1275,2016-12-01
115553,2016,12,AVN,2007-04-16,AVANTI COMMUNICATIONS GROUP PLC    ,Mobile Telecommunications,Mobile Telecommunications,United Kingdom,31.69021525,-0.49,-0.4399585624045537,0.564625850340136,2016-12-01
115563,2016,12,BSD,1998-06-08,B.S.D CROWN LTD                    ,Software & Computer Services,Internet,Israel,0.0,-0.09,-0.0,2.6909090909090905,2016-12-01
115573,2016,12,BGO,2005-06-30,BANGO                              ,Software & Computer Services,Internet,United Kingdom,40.9376295,-0.06,-10.496828076923078,0.04030769230769232,2016-12-01
115612,2016,12,BST,2016-12-19,BIG SOFA TECHNOLOGIES GROUP PLC,Software & Computer Services,Software,United Kingdom,11.91815184,-0.06,-3.484839719298246,0.013333333333333334,2016-12-01
115659,2016,12,BRY,2004-06-28,BRADY                              ,Software & Computer Services,Software,United Kingdom,58.81673436,-0.03,-23.62117845783133,0.3012048192771085,2016-12-01
115664,2016,12,BBSN,2013-11-12,BRAVE BISON GROUP PLC              ,Software & Computer Services,Computer Services,United Kingdom,17.87561609,-0.01,-3.1251077080419583,0.03146853146853147,2016-12-01
